input_text,target_text
ბლუაშვილი,ბლუაშვილი
მისაცემად,მისაცემად
მოხება,მოხდება
კოლომეტრამდე,კილომეტრამდე
მოიწადინა,მოიწადინა
გადაყლალა,გადაყლაპა
სოტროვსკი,ოსტროვსკი
უმნიშვნეოსი,უმნიშვნელოსი
გალიდიე,გალოდიე
აღმოჩნდებოდნენ,აღმოჩნდებოდნენ
ძელქორები,ძელქორები
ამბწბჰისა,ამბებისა
ხევაშნი,ხევაშენი
გაგუზავნა,გაუგზავნა
ხაფანგოი,ხაფანგიო
შეეამცირებლად,შესამცირებლად
ხფიციტს,დეფიციტს
ვეოდოთ,ველოდოთ
მუშაპბამ,მუშაობამ
ფასიშსი,ფასისში
შარუქინი,შარუქინი
დაუჰიშნა,დაუნიშნა
წაროდ,წყაროდ
შავაეთსი,შავშეთის
გაომჟღაბნება,გამომჟღავნება
გაგვიბედა,გაგვიბედია
კინგყსტაუნი,კინგსტაუნი
ქვაავით,ქვასავით
აგმოაშკარავებულია,გამოაშკარავებულია
ავნევი,ავნევი
შემოვუხვიე,შემოვუხვიე
ალპინიზმი,ალპინიზმის
შტტიდან,შტატიდან
ჟერონიმუშის,ჟერონიმუშის
გრძნობიტ,გრძნობით
თვალსაზრისს,თვალსაზრისს
მოახსენე,მოახსენე
თანასწორ,თანასწორ
ენისათვის,ენისათვის
დესდ,დესე
გარნიზოი,გარნიზონი
ესაუბრებიან,ესაუბრებიან
ბალაბნაოვი,ბალაბანოვი
დაკძლნეს,დაიძინეს
ერპოქამდე,ეპოქამდე
ონდლი,ონელი
დაზიანებულ,დაზიანებულ
პიროებია,პირობებია
დაკლული,დაკლული
აძრტული,აზრტული
პარტიზანბი,პარტიზანები
აბჰიჯი,აბჰიჯიტ
ვიოგ,ვიგო
ბორმაჯი,ბორმანი
ასნარკოოზ,სანარკოზო
ნამოქმედარს,ნამოქმედარს
მიდამოეშა,მიდამოებშია
ჰუქნგ,ჰუანგ
ლესაი,ლესია
დარაელი,დარასელი
დეენემის,დეენემის
უსადდნო,უსადენო
ელაპარაკებ,ელაპარაკება
ჰეროცგს,ჰერცოგის
მიუპჰრია,მიუპყრია
პროვინციას,პროვინციას
ხმამაღალ,ხმამაღალ
ვოოკლტნიორებისაგან,ვოლონტიორებისაგან
დამნაშავენი,დამნაშავენი
გატონის,ბატონის
ბეოი,ბელი
ჯამჯწმა,ჯამჯამა
გოდრეზიანი,გორდეზიანი
ოსურიუ,ოსირიუ
შჰ,შაჰ
შალდათებე,სალდათებს
იქნაო,იქნაო
ბარდაველიძეზ,ბარდაველიძეს
კოლუმბუსი,კოლუმბუსი
კასაფა,კასარა
ყალთაბანდობაა,ყალთაბანდობაა
ვეტრინარია,ვეტერინარია
ძურნდა,ძურინდა
შვებჰლებწში,შვებულებაში
სომერჰალდერი,სომერჰალდერი
კარფოვსე,კარპოვზე
მჯიწვა,მიწვა
ხილავდა,ხილავდა
სმტისლაივს,მსტისლავის
სზლამალეიქი,სალამალეიქი
ვიქცე,ვიქცე
მტი,მტი
ხეკმნეორე,ხელმეორე
მექისმე,მექისემ
ბერთოლიდებჰი,ბერთოლიდები
წერძე,წეროძე
შუაჯისმთის,შუანისმთის
ინდონეზიური,ინდონეზიური
აეორდრომუ,აეროდრომი
ტრადიციებისგან,ტრადიციებისგან
ოვერეისელი,ოვერეისელი
სილიანოვსკა,სილიანოვსკა
ღონისძიეენბზე,ღონისძიებებზე
გამოდხადდეჰოდბენ,გამოცხადდებოდნენ
შვულო,შვილო
უფოებრივად,უფლებრივად
ევგეინს,ევგენის
შიმდდირის,სიმდიდრის
ლუქსემბურგია,ლუქსემბურგია
მზურნველთა,მზრუნველთა
აგრძელებდრნნჯ,აგრძელებდნენ
ჩერქეზიშვილი,ჩერქეზიშვილი
დედაქალაიქც,დედაქალაიქც
საკომუნიკაცია,საკომუნიკაცია
იუჰუსი,იუნუსი
მართლმადიდებლობიდან,მართლმადიდებლობიდან
სმოლიჯა,სმოლინა
სტვფანოზ,სტვფანოზ
დაშორებიდან,დაშორებიდან
აჯმალამ,ჯამალამ
გასენდიმ,გასენდიმ
დოლოშას,დოლოშას
ასახოს,ასახოს
სხეულს,სხეულს
დაკნინეგიას,დაკნინებისა
დწნაკარგები,დანაკარგები
ხცისი,ხცისი
იუგოსლვიისგან,იუგოსლავიისგან
ზრუდავს,ზღუდავს
მოღვაწეობას,მოღვაწეობას
გახევდა,გახევდა
იმავდროულად,იმავდროულად
ვარჩიე,ვარჩიე
პლიუსზ,პლიუს
ლაპლადნია,ლაპლანდია
ალღსო,ალღოს
ლააჩუთში,ლაანჩხუთში
კანზსის,კანზასის
ეთნოლინგვისტიკა,ეთნოლინგვისტიკა
წელიადიწ,წელინადია
კონტიმენტურამდე,კონტინენტურამდე
გრიგამლა,გრიგალმა
აჩვათვაქლიერე,ჩავათვალიერე
ირონ,მირონ
გაუვალია,გაუვალია
ნატჰრალისტური,ნატურალისტური
ქობულეთისა,ქობულეთისა
დანაშაულეიბშთვსი,დანაშაულებისთვის
იძენერნ,იძენენ
განწპირას,განაპირად
ჩაკირკიჰებით,ჩაკირკიტებით
აკადემიებსზ,აკადემიებს
ორგზის,ორგზის
სპავურ,სლავურ
წყეჰად,წყენად
ჩებვოქსარი,ჩებოქსარი
ესაუბრეაბ,ესაუბრება
კაუილცი,კაულიცი
ნიმიდიელრბთან,ნიმიდიელებთან
იალუბზზე,იალბუზზე
წაჯრატებელი,წარუმატებელი
შრდეინგერი,შრედინგერი
რპეზიდენტობა,პრეზიდენტობა
დაერკა,დარეკა
ფუქუი,ფუკუი
აორინი,აზორინი
ანჩისსატისა,ანჩისხატისა
ჯიხურში,ჯიხურში
საუჯდა,დაუჯდა
კოლპინი,კოლპინგი
გახინჯგისა,გასინჯვისა
რდამტაულგიული,დრამატურგიული
პროპტესტანტებდიან,პროტესტანტებიდან
ქვეშევრდომების,ქვეშევრდომების
გამნინელა,გამომინელა
იქბას,იქნას
ვფიქრო,ვიფიქრო
სალმაზე,სილამაზე
გმიჟვნას,გამიჯვნას
კრეჯონის,კრემონის
სკუთრებს,საკუთრების
შეწყვიტეოთ,შეწყვიტეთო
გოგიდს,გოგირდს
გუდოუ,გუდოუ
პენია,პენია
ნილს,ნილს
მკეურაცხდოყფილი,მეურაცხყოფილი
წითლაე,წითლად
უცხოელდბს,უცხოელების
სტაფილო,სტაფილო
ააქართველო,საქართველო
სამყურა,სამყურა
ცუთივეს,ხუთივეს
გერგთეის,გერგეთისა
ბანგლადეშწელი,ბანგლადეშელი
ლაკუზსტს,ლაკუასტის
მომიბრუმდა,მომიბრუნდა
წვნისა,წვენისა
მყინვარებამდე,მყინვარებამდე
ნუყუნს,ბუყუნს
შენარნუნებას,შენარნუნებას
სტრაბონმა,სტრაბონმა
გადაცემამ,გადაცემამ
ქაფონი,ქარონი
გეაგდაღის,გეაგდაღის
გატაის,გატანის
ხადნი,ხაენი
გასიმოა,გასიმოვა
ნუციატივების,ინიციატივების
მდნურის,მდგმურის
გაუღებს,გაუღებს
სულჯოკლებამან,სულმოკლებამან
თავდოაირველ,თავდაპირველ
აღმშენებეილ,აღმშენებელი
ნინოეა,ნინოსა
ახგრაფოებად,საგრაფოებად
მნალქმა,მონარქმა
ჭიქაცჩ,ჭიქაც
პერსონალურ,პერსონალურ
ვასწავლეთ,ვასწავლეთ
მერიკლელია,ამერიკელია
ნაირფერტოვანია,ნაირფეროვანია
გნააზლებდა,განაახლებდა
მეტყველებაა,მეტყველებაა
ჩამოყალიბა,ჩამოყალიბა
ანეთის,ჭანეთის
ვიყიდთო,ვიყიდოთო
სკღოიანი,ალღოიანი
შეცვალე,შეცვალე
ჯოშუა,ჯოშუა
წაომიმართა,წამოიმართა
პრელედიგნა,პრეპედიგნა
კობო,კობო
ფუწეთისთვის,რუსეთისთვის
მთანხმდება,მთანხმდება
არასამართლიან,არასამართლიან
მპხდებდა,მოხდებოდა
უგულვებელყოფაც,უგულვებელყოფაც
მოფროლოგი,მორფოლოგი
მენანეკენე,მემანეკენე
მილიონი,მილიონით
ხანაა,ხანაა
უგვერცა,უგვერდა
გორგილაძე,გორგილაძე
სენდჰილშაი,სენდჰილში
თაადაც,თავადაც
სამეხდროებმა,სამხედროებმა
სეზონბიშ,სეზონების
ზარზჯობა,ზარზმობა
შემთხვევითოვა,შემთხვევითობა
თურქმენეგის,თურქმენეთის
დემერესთან,დემეტრესთან
პისკოპია,პისკოპია
ტბწტაძეს,ტაბატაძეს
კაზაკეიბ,კაზაკები
მავრიტანიის,მავრიტანიის
რომაელმა,რომაელმა
მოწვეგა,მოწვევა
ესპანეთის,ესპანეთის
თსნამავალ,თანამავალი
თავისქდ,თავისად
მიცვალებულების,მიცვალებულების
მინიშნება,მინიშნება
ფიცელი,ფიცხელი
იბერაში,იბერიაში
სტეპიანიკ,სტეპიანი
ბორცოში,ბორდოში
მისაქცეივა,მისაქცევია
ყველაფერუო,ყველაფერიო
ასტიფაშისტური,ანტიფაშისტური
ჯაგეჰისკენ,ჯაგებისკენ
ძაკაგამოცლილი,ძალაგამოცლილი
მიახლოვდებოდა,მიახლოვდებოდა
ამერიკასა,ამერიკასა
ათასდიაბ,ათასიდან
კურტენეს,კურტენე
უხუსტესდად,უზუსტესად
საძიებლის,საძიებლის
გმოვარდა,გამოვარდა
გმირებგად,გმირებად
ფმერთად,ღმერთად
გადაიწეალ,გადაიწერა
ზღარბი,ზღარბი
გამხიდრრბის,გამდიდრების
იბსო,ბისო
ყამოცდას,გამოცდას
ოსამუ,ოსამუ
საამების,საამების
სივრცის,სივრცის
ოსა,ოდა
ჯანგო,ჯანგო
შდტაკება,შეტაკება
ინსტიტუცირ,ინსტიტუციურ
მეგობერბმაც,მეგობრებმაც
შუნტწრში,შუნტერში
მნოეხერხებინზ,მოეხერხებინა
ებრაეკეს,ებრაელებს
მისასვკეი,მისასვლელი
მრავლაც,მრავლად
ბრატეინ,ბრატენი
გადასახადის,გადასახადის
გამმშვიდობებზსთნა,გამომშვიდობებასთან
გაჯოჩეანსაც,გამოჩენასაც
თმქმელიპ,მთქმელიო
სპილენკ,სპილენძი
მჰა,მბა
ნავსადგურიდჰა,ნავსადგურიდან
ზეანდია,ზელანდია
გოლბოთა,გოლგოთა
იწინასწაარმეტვყელა,იწინასაწარმეტყველა
დასაფარად,დასაფარად
კრიჰიკისა,კრიტიკისა
ხავსურა,ხავსურა
ასტრონავტები,ასტრონავტები
მოსლოვის,მოსკოვის
ბრუნინიგს,ბრუნინგის
ილუსტრაციული,ილუსტრაციული
ამნერა,მანერა
ტახტი,ტახტი
ალებმა,ქალებმა
ხავკოდი,ჩავკროდი
ფდონი,ფონი
ნიადაგია,ნიადაგია
აეზღუდვებს,შეზღუდვებს
პირღმა,პირაღმა
დინამოსა,დინამოსა
მალქიასკენ,მალაქიასკენ
რეალობის,რეალობის
ჭანეთსა,ჭანეთსა
კანონსო,კანონსო
გათხრებში,გათხრებში
აზერაბიჯანი,აზერბაიჯანი
ნსბისყოფაც,ნებისყოფაც
სეზრეა,სერზეა
ზავი,ზავი
რამსი,რამის
წყნარ,წყნარ
ნაძარცვისკენ,ნაძარცვისკენ
მომვეთოს,მოეკვეთოს
კორპუშია,კორპუსშია
ჩაჯოვართვწ,ჩამოვართვა
ფროუ,ფეროუ
ჰნოკეინიმ,ჰომეინიმ
ხელმისაწვდომ,ხელმისაწვდომ
პატარაია,პატარაია
სიდლ,სიდი
ტვყე,ტყვე
ბჰერწობისა,ბერწობისა
რიჩრდი,რიჩარდი
სანაპიროს,სანაპიროს
კვარტიროლო,კვარტიროლო
სბაჟოს,საბაჟოს
ჩავუვარდი,ჩავუვარდი
დაწხარჯეს,დახარჯეს
ანმალიუეი,ანომალიური
რეიაგნი,რეიგანი
ჰერში,ჰერში
აისბეგგების,აისბერგების
ოქუაიშვლი,ოქუაშვილი
მოხმარენიშ,მოხმარების
დაგემართოთ,დაგემართოთ
ადამიანება,ადამიანებად
ეწლემენტებსაც,ელემენტებსაც
ნორდოომ,ნოროდომ
ვოლფი,ვოლფი
ოველია,ოფელია
კვიმაძე,კვიმსაძე
ლაზებსე,ლაზებზე
გამონაწხვაზე,გამონახვაზე
გამლყოფდა,გამოყოფდა
მიძღვინს,მიძღვნის
ოთახებოს,ოთახების
კარზფ,კარზე
კრევიაო,ურევიაო
ბუხაარ,ბუხარა
სჰილებით,სტილებით
ეძიებს,ეძიებს
ბატეჰს,ბატებს
პონფალი,პონდალი
ალლჰასა,ალლაჰსა
უსიპთან,უსიპთან
გადმოიტანეს,გადმოიტანეს
ვალუტა,ვალუტა
ემილის,ემილია
ჩავსულვარ,ჩავსულვარ
ოტივთა,მოტივთა
თაბაეირიანი,თაბაშირიანი
ფდიქოლოგიის,ფსიქოლოგიის
წაფო,საფო
უთვააზეს,უთავაზეს
მრიტკოსის,კრიტიკოსის
აღმოჩენიდან,აღმოჩენიდან
აბანოთუბანაი,აბანოთუბანია
ზქლცბურგის,ზალცბურგის
ლასჯარისი,ლასკარისი
კონტაგოიზური,კონტაგიოზური
პოეზიაიშ,პოეზიაში
დაემორჩილე,დაემორჩილე
ვეც,ვეც
კერპებად,კერპებად
ჰუსეუნი,ჰუსეინი
სტაპუერკის,ატაპუერკის
შემოსლაუ,შემოსულა
სუფიქსით,სუფიქსით
ვჰსტავია,გუსტავია
ჰარილ,ჰარლი
რავსდოია,რაფსოდია
იმყოფება,იმყოფება
საბეეძნეთს,საბერძნეთს
შეუძლია,შეუძლია
ყანჩაველის,ყანჩაველის
გადელია,გადელია
შეშვება,შეშვება
რუი,რუხი
ეჭაშნოკებაქ,ეჭაშნიკება
ბაა,ბანა
დარადმაა,დარდაკაა
ოდინგა,ოდინგა
გსქვსო,გაქვსო
ღაკვთეილია,გაკვეთილია
ჩანახიხ,ჩანახის
ავტოინდუსთრია,ავტოინდუსტრია
კარისკაცე,კარისკაცს
უხსიგობა,უხეირობა
დაავადებსი,დაავადების
შჩეფდრნის,შჩედრინის
აღატებინა,ააღებინა
შთამომნჯავლობს,შთამომავლობას
ატოლთან,ატოლთან
მრიგედ,მორიგედ
ნოერევი,მოერევი
სილუზერენისწ,სიუზერენისა
ტერიტოირწბისთვის,ტერიტორიებისთვის
მოლდვაში,მოლდოვაში
გამოცატულებაა,გამოხატულებაა
გაარცეოეთ,გაავრცელეთ
ფსკოველმ,ფსკოველმა
ნენტ,ბენტ
უხერხულობებსი,უხერხულობების
რომანოვს,რომანოვს
ვეკსა,ველსა
ყურთბალიშები,ყურთბალიშები
ნაიიბ,ნაიიბ
ქათანს,ქათამს
განსხვავებების,განსხვავებების
ეთანხმებოდა,ეთანხმებოდა
ქრთცელი,ქართველი
დერეფანი,დერეფანი
ქუბასარიეძ,ქუბასარიძე
მოთავეები,მოთავეები
მაკ,მაკ
კამოიერება,კანონიერება
კირილდსა,კირილესა
ბაზად,ბაზად
რეაგირება,რეაგირება
გასალახავად,გასალახავად
ვულკნა,ვულკან
ჩურიომოვ,ჩურიომოვ
ტომსიკა,ტომსიკა
მრავალთაგი,მრავალთავი
დაუშვას,დაუშვას
ჩონჩხები,ჩონჩხები
გაზახფულისა,გაზაფხულისა
ერდოჰი,ერდოთი
დასასრულისთვის,დასასრულისთვის
შირდება,შირდება
რიბენტროპს,რიბენტროპს
მივყავი,მივყავი
ნეტარ,ნეტარ
დიმიტროვი,დიმიტროვი
ირტაქტიამ,ორტაქტიან
ქუდიაი,ქურდიანი
პრეს,პრეს
იოხტად,კოხტად
ნიჯოდიმოს,ნიკოდიმოს
საგზაო,საგზაო
საღამომდის,საღამომდის
ლაუმ,ლაუნ
ტუარეგებმა,ტუარეგებმა
ჰუგო,ჰუგო
პოლოცკაიას,პოლოცკაიას
ნომდევო,მომდევო
მშვიდობიას,მშვიდობისა
ოიშს,ოშის
გჯს,გის
დინამოს,დინამოს
ტვარჩელი,ტყვარჩელი
უგყლეჰელვყოფდი,უგულებელვყოფდი
მაისურაძე,მაისურაძე
ლემერჰირტის,ლემერჰირტის
თავგლიდსნ,თავლიდან
პატრონ,პატრონ
ამოღებას,ამოღებას
მილიარდიან,მილიარდიან
ჩედნენკო,ჩერნენკო
ვაკეებს,ვაკეებს
ზუსტებისათვსი,დაზუსტებისათვის
ეშს,ლეშს
შემთხვევააე,შემთხვევაზე
უყარეს,უყარეს
გვეთქვა,გვეთქვა
მოალეობებისადმნი,მოვალეობებისადმი
გადაცევა,გადაქცევა
საგურამო,საგურამო
ეარჩოსი,სარჩოსი
ხამელაშიილ,ხრამელაშვილი
კაკუინ,კაკუნი
შევარჩიე,შევარჩიე
შესაძლებლობიდან,შესაძლებლობიდან
გჰაზრდილ,გაზრდილ
კეთილისად,კეთილისად
მნწკრივს,მწკრივს
არვპ,არვო
ალბანწთი,ალბანეთი
მივავშირე,მივაშვირე
ძრობ,იძრობ
იოაიმის,იოახიმის
პერინი,პერინი
ადვძინეთ,დავიძინეთ
ნარაში,ნარაში
ამათსა,ამათსა
აფაქიძე,აფაქიძე
შეგვეძლო,შეგვეძლო
სახელმწიფომ,სახელმწიფომ
იპოივა,იპოვა
რუსთვაიან,რუსთავიდან
კულიკოვის,კულიკოვის
რელიგიურობით,რელიგიურობით
ანტნოიო,ანტონიოს
იხრჩობოდა,იხრჩობოდა
ველოე,ველე
მაჯიდაჩფმი,მამიდაჩემი
გვაჭამოს,გვაჭამოს
ქვეყანათმცოდნეობა,ქვეყანათმცოდნეობა
ქრისტიანობასთან,ქრისტიანობასთან
სტჰუდენტის,სტუდენტის
ლივერპულში,ლივერპულში
იალქანიძეს,იალქანიძეს
მოიბრუნოს,მოიბრუნოს
მმარვეოლბებს,მმართველობებს
სცენორაფი,სცენოგრაფი
სმაძიმრის,სამძიმრის
შიშუ,შიში
ივსზება,ივსება
მიგვიყვნაოს,მიგვიყვანოს
თაულბოვი,თალიბოვი
კონკურსი,კონკურსი
მძიმეა,მძიმეა
პრემიერი,პრემიერი
ელეტქრონია,ელექტრონიკა
ოქტავასაც,ოქტავასაც
ენასხა,ენახა
ეტირსობა,ეგრისობა
ღელეეზ,ღელეზე
გამოსახსნელი,გამოსახსნელი
ვიფე,ვიღე
ციდა,წიდა
კნუთკ,კნუთი
ვილაისთს,ვილაიეთის
ანდაოუსიაში,ანდალუსიაში
კლლას,კოლას
შუადღიდან,შუადღიდან
ეთაშად,ერთბაშად
პოჯ,პომ
კიტოლუიზი,კიტოუიზი
მიჭრდება,მჭირდება
ხელფბგზთოკილ,ხელებგათოკილ
მოლწყვფეტილ,მოწყვეტილ
ვაკიშებურ,ვაკისებურ
ჩანახსა,ჩანახსა
კრაზხანა,კრაზანა
ხვნგია,ხვინგია
ხელსაწოთა,ხელსაწყოთა
უზბ,ზუბ
ხიდდ,ხიდად
ობჰსერდვატორიები,ობსერვატორიები
უქადხდა,უქადდა
გოგენათ,გოგენთან
გასწდვთ,გასწევთ
ჰოლბერგი,ჰოლბერგი
შოტლნადიურს,შოტლანდიურს
დესიკოიდონი,დესიკომიდონი
ომახოვდნენ,მოახლოვდნენ
შენაკადებია,შენაკადებია
მიზანთაგანი,მიზანთაგანი
ნიკაი,ნიკაპი
დაწერპთ,დაწეროთ
მიოვებ,მიტოვებ
საჭბოელი,საბჭოელი
ფროდუქტებისა,პროდუქტებისა
მიგრირდა,მიგრირდა
მებლსტნობა,მებოსტნეობა
მაკელოდი,მაკლეოდი
პარტუაა,პარტიაა
ნიკანდტე,ნიკანდრე
შეუშაო,შეუშალო
კუუალოფა,ნუკუალოფა
კორგნუოლისი,კორნუოლისი
ფაკულტეტებს,ფაკულტეტებს
ღერძუპი,ღერძული
პაროდიაც,პაროდიაც
ვალეი,ვალები
ყირმიზუბულაღდერე,ყირმიზიბულაღდერე
დაოშებული,დაშორებული
ვორონცოვის,ვორონცოვის
სუმგაითი,სუმგაითი
სამაოიროს,სამაპიროს
მსჯელობა,მსჯელობა
დანიშვნაში,დანიშვნაში
წარმოდგეა,წარმოდგება
მხეცრეიბ,მხედრები
ხრნალშიც,ხარნალშიც
ზეინკალი,ზეინკალი
ზფითაქის,აფთიაქის
მონგის,კონგის
გალებმა,გალებმა
ვილებო,შვილებო
წინსვკამ,წინსვლამ
კუთვჯილება,კუთვნილება
ცყცას,ცუცას
გაუშენებიოათ,გაუშენებიათ
რეჩულ,რჩეულ
ჯოქმედი,მოქმედი
ყკველდღუიჯრობასაც,ყოველდღიურობასაც
მენციერზე,მეცნიერზე
წყებით,წყებით
ნამხილონ,მამხილონ
ვეტყივ,ვეტყვი
მოუჭრა,მოუჭრა
იტალ,იტალ
სამსტთოკვროეიბს,სამსტოვროების
ცწმეტმა,ცამეტმა
სისქითრ,სისქით
შსჯბრში,შეჯიბრში
იტბრება,იტბორება
რეგინებშიც,რეგიონებშიც
სეკო,სეკო
ქალაქმშენებლობითი,ქალაქთმშენებლობითი
მიაშურებდმემ,მიაშურებდნენ
ასძამთრო,საზამთრო
გააღებს,გასაღებს
ხნაობა,ხანობა
ადიუტანტობიდან,ადიუტანტობიდან
რეგიომონტნაუიქ,რეგიომონტანუსი
თევზიყლაპიები,თევზიყლაპიები
მიცი,მიდი
ხორნაბუჟის,ხორნაბუჯის
სკოლეჰს,სკოლებს
მსჯელობისა,მსჯელობისა
მჯესამედში,მესამედში
სიმდაბლი,სიმდაბლით
კავნსებში,კვანძებში
მყებით,ყმებით
საშიშლბა,საშიშობა
ნომინალური,ნომინალური
მომხრეების,მომხრეების
ჩამოყუნცული,ჩამოყუნცული
გზძარცვ,გაძარცვა
გქქცევა,გაქცევა
ხიტყვანი,სიტყვანი
ნზპლეონოსაგან,ნაპალეონისაგან
სფაერშარო,საფერშალო
აეროდომი,აეროდრომი
უოდიანთა,კუდიანთა
პათოლოგიის,პათოლოგიის
ხსფეხამ,ხისფეხამ
პირიკწნ,პირისკენ
დეგრადფაცაისთან,დეგრადაციასთან
ბესქტს,ბესტს
პალეტები,პაკეტები
გამოვილლ,გამოვლილ
იონდახები,კონდახები
ოარტიზანებს,პარტიზანებს
ვისტორი,ვიქტორი
დაგვავიჭყდსე,დაგვავიწყდეს
